       l       b       nec     Fc     dc     rc   edge type name
0   31.303   -0.134   21.348  0.0   2.9    0.01     0    P Glimpse-C01-HII                                                                  
0   38.354   2.064    1.0   50.0   2.75    0.07     0    P 1853+0545   
0   38.365   0.062   0.203   0.0   9.5     0.04     0   PX 1901+0459-HII 
0   46.17    0.18    0.726   0.0   8.2     0.01     0   PX 1915+1150  
0   49.07    -0.38    2.1  200.0    5.00   0.090    0  MPX W51-II-HII
0   49.07    -0.38    2.1    0.0    5.29   0.138    0  MPX W51-I-HII      
0   49.791  -61.252   1.306  0.0    3.422  0.01     0   PX 2257-16     
0   51.979    0.542   1.5    0.0    5.29   0.03     0  MPX G051.979+00.542-HII      
0   53.935    0.229   0.7   0.0     7.0    0.147    0  MPX W52-HII     
0   56.75    -4.56    6.06   0.0    2.0    0.01     0    P M71   
0   58.966   1.814    0.746  0.0    8.7    0.01     0   PX 1934+2352   
0   59.931  -1.423    0.50  73.0   4.155   0.01     0    P 1949+2306        
0   60.395  -0.131   1.057   0.0    8.5    0.01     0   PX 1945+2410_P   
0   63.598   1.687    1.50  25.0   2.37    0.05     0   MP 1946+2611-HII        
0   68.564   1.329    1.26  0.0    7.1     0.01     0   PX 1958+3156  
0   69.042  -0.535    0.50  64.0   3.437   0.01     0   MP 2007+3120             
0   77.0     1.1      0.9    4.7    1.5    0.179    1  MPX CygnusI-HII 
0   78.4     1.2      6.0    1.8    1.65   0.032    1  MPX CygnusII-HII
0   79.133  -5.589    2.366  0.075  1.5    0.01     0    P 2055+3630   
0   85.325  -0.800    1.3    10.0   1.5    0.094    1  MPX S117-HII
0   89.003   -1.266   6.457  0.007  1.111  0.01     0    P 2113+4644            
0   90.857    1.69    2.3    0.0    5.85   0.086    0  MPX G090.856+01.69-HII
0   104.255   7.412   4.227  0.011  1.389  0.01     0    P 2149+6329         
0   108.86    6.15    4.0    0.045  0.730  0.01     0    P 2225+6535-HII                                                                                          
0   113.138   3.079   1.308  0.0    2.9    0.01     0   PX 2319+6411 
0   121.298   0.659   2.00   0.0    0.929  0.025    0   PX 0026+6320-HII    
0   126.398  69.947   3.009  0.0    3.194  0.01     0   PX 1244-4708
0   128.1     0.95    5.0    0.0    4.0    0.039    0  MPX 0137+6349                          
0   130.719   3.084   0.859  0.0    2.3    0.01     0   PX 0205+6449
0   136.88    0.912   13.0   0.0    1.95   0.015    0  MPX G136.884+0.911-HII         
0   160.363  3.077    0.2   50.0   0.765   0.01     0    P 0502+4654  
0   171.96  -2.17     2.56   0.0   0.500   0.02     0   PX 0517+3436_P-HII
